dist	len	time	scanned	reached	inserted	decreased	
797769	667	0.232	75070	207806	75629	15011	
502105	392	0.118	29724	82663	30316	6221	
574039	407	0.116	29681	81891	30274	5795	
608306	454	0.106	25408	71075	26028	5498	
691864	582	0.133	34945	97158	35769	7310	
292734	175	0.053	4251	10867	4507	525	
75350	60	0.046	598	1659	692	97	
359354	400	0.090	17612	56589	18272	6040	
705688	570	0.184	52914	167202	54210	16283	
110814	110	0.047	1772	5050	1921	403	
546241	371	0.101	23233	62535	23872	4363	
717966	451	0.199	60860	174742	61531	13181	
617018	451	0.167	47206	142871	48097	12452	
345538	215	0.076	14070	35993	14455	1981	
357139	304	0.101	22746	65697	23098	5795	
630042	395	0.151	41926	119620	42563	9829	
715301	552	0.214	65116	202331	65930	19068	
743744	585	0.180	54081	146500	54841	10430	
166982	122	0.050	3132	8856	3231	658	
609579	346	0.113	27420	77230	28052	5897	
366916	308	0.074	12440	38981	12744	3863	
228644	218	0.059	6730	22409	7114	2280	
664080	476	0.139	35642	113367	36162	12286	
723166	634	0.201	60414	188180	61334	17516	
444129	388	0.101	22775	71148	23363	6619	
602248	440	0.151	42062	128451	42753	12036	
332541	171	0.056	5514	15786	5757	1267	
996091	803	0.201	57178	171618	58967	16453	
408654	313	0.082	15788	50105	16180	5180	
142055	114	0.045	847	2617	1018	255	
381575	330	0.099	22744	64050	23208	4733	
650565	528	0.090	18630	53686	19170	4494	
649385	459	0.205	62599	186963	63604	15679	
429724	318	0.083	15970	45630	16475	3768	
1001971	811	0.199	60893	169887	61916	12999	
919831	738	0.213	63905	185969	65184	16511	
368923	367	0.095	19533	65958	19937	6784	
290512	150	0.050	3291	8017	3444	306	
602175	368	0.143	41127	109060	41497	6598	
407518	378	0.079	14945	42001	15463	2976	
718477	490	0.190	57737	160649	58271	12009	
470339	400	0.077	12847	43474	13380	4823	
561873	484	0.193	59484	175437	60140	14402	
371513	283	0.089	18041	52794	18554	4321	
339915	240	0.068	10350	27018	10801	1509	
606549	540	0.118	28377	92007	29097	9551	
630963	466	0.130	34930	99563	35463	8072	
738498	517	0.138	37305	104785	38315	8481	
454156	198	0.061	8119	19876	8398	866	
762053	652	0.198	58076	171743	59107	15316	
312345	174	0.052	4015	10152	4260	487	
300271	239	0.071	11130	32259	11587	2863	
801792	564	0.301	98591	304317	99292	28785	
624013	656	0.123	29990	95490	30790	10453	
822492	588	0.161	45458	130762	46539	10904	
516489	491	0.110	25998	79060	26679	7299	
426508	375	0.151	41952	134161	42363	13506	
532041	427	0.101	21979	74064	22845	8297	
280390	211	0.059	6320	19399	6793	1813	
283410	216	0.055	5019	14987	5334	1311	
829686	514	0.173	49611	138395	50255	10872	
580696	324	0.098	22669	60106	23018	3800	
29383	20	0.043	69	185	91	8	
234708	202	0.052	3474	11435	3819	1194	
593578	552	0.127	30811	99886	31609	11131	
983435	671	0.216	64678	193197	65799	18858	
527798	448	0.109	24131	79962	24797	9782	
361227	251	0.073	12760	34683	13075	2295	
307271	255	0.075	12334	37341	12706	3618	
492743	344	0.096	20772	59683	21473	4851	
551375	359	0.091	20570	53642	21010	3067	
1036020	965	0.375	132345	397868	133207	33489	
799398	727	0.150	39634	123504	41066	13186	
344105	401	0.068	9300	31673	9723	4207	
514984	422	0.095	20568	60011	21236	5131	
876988	524	0.201	64063	166924	64516	10058	
725301	467	0.096	22538	57528	22908	3100	
571872	509	0.124	31863	97833	32897	9224	
108676	57	0.045	682	1854	786	106	
460018	441	0.088	17923	56632	18596	5227	
340520	278	0.076	13173	38356	13472	3080	
905369	723	0.151	39319	120392	40758	12044	
553007	364	0.105	24663	70064	25242	5585	
482784	422	0.158	44346	137517	44836	13248	
837599	773	0.127	33242	97677	34468	8834	
632759	450	0.135	35325	109535	36103	11103	
355060	225	0.077	14218	37833	14589	2360	
896401	696	0.256	81584	238182	82391	20770	
537445	366	0.102	25188	66485	25584	3875	
202166	206	0.063	8429	24954	8794	2088	
326304	279	0.067	10041	30667	10357	2589	
522119	372	0.132	34464	105820	35135	9860	
483351	192	0.054	4955	11718	5064	418	
512450	355	0.089	18779	49361	19414	2960	
378683	459	0.063	7752	23186	7946	2462	
185208	133	0.051	3270	9917	3594	848	
407810	240	0.068	10787	27089	11280	1281	
254671	217	0.065	8891	28344	9175	2763	
304720	201	0.058	6278	16467	6534	918	
778714	595	0.202	63595	182551	64024	14560	
271730	189	0.058	6482	16845	6746	967	
709767	553	0.145	38250	121862	38856	13401	
779080	518	0.224	68721	213596	69465	21120	
380113	296	0.108	26019	78294	26408	6868	
660291	539	0.164	46842	140295	47654	12764	
371987	374	0.105	23423	71872	24059	6787	
561707	473	0.102	23952	67250	24402	5014	
302820	213	0.074	12332	36903	12639	3112	
824909	571	0.176	50565	146407	51781	12660	
330283	229	0.062	8394	22238	8672	1227	
569925	400	0.122	31988	87337	32543	6027	
655488	527	0.125	30672	97942	31555	10191	
186610	169	0.048	2468	6748	2657	423	
242119	213	0.050	2857	8374	3122	753	
473103	329	0.109	26642	77430	27017	6591	
151637	90	0.045	1060	2743	1232	112	
467838	367	0.081	15343	43487	15834	3210	
646082	561	0.126	31990	98352	32990	9493	
496259	453	0.107	24152	77738	25169	8090	
302766	322	0.084	15886	52988	16273	5704	
324897	249	0.069	10512	32620	10941	3015	
822127	775	0.132	34896	102798	35755	9534	
429452	288	0.073	12305	31277	12809	1681	
735153	613	0.123	32294	87574	33099	5951	
121736	133	0.046	1002	3405	1181	348	
707850	556	0.192	57145	164652	58031	14539	
547669	393	0.102	23148	67193	24111	5799	
423945	363	0.133	34732	109179	35241	10778	
151726	178	0.053	4032	11742	4347	941	
115939	85	0.047	1621	5019	1766	389	
658550	345	0.073	13032	33032	13655	1769	
48428	38	0.043	280	770	332	39	
284768	249	0.074	12102	35763	12544	3430	
664766	483	0.110	26187	78206	26918	6876	
704104	593	0.092	19381	55291	20149	5110	
544170	366	0.165	48405	144030	48961	11737	
889021	704	0.318	107998	330058	108819	29027	
766298	534	0.178	51407	147615	52622	12869	
546421	311	0.139	39999	114806	40494	7234	
669175	348	0.139	36291	105177	37139	9254	
701161	598	0.208	63658	195797	64422	18083	
495772	331	0.097	21716	60275	22289	4733	
876418	593	0.268	86680	241918	87456	19303	
588099	448	0.123	31347	89521	32070	7245	
214272	143	0.053	4293	10986	4535	528	
504308	373	0.129	34818	99260	35410	7193	
586672	388	0.102	25312	70259	25830	4647	
535171	428	0.117	30245	85161	30629	6631	
198339	142	0.049	2936	7490	3121	342	
21203	23	0.042	93	313	130	31	
304838	265	0.055	5214	14972	5619	1269	
427554	221	0.076	13603	38745	14072	2738	
1128887	955	0.168	48990	144815	50234	13603	
517954	479	0.148	40116	129498	40691	13338	
611837	478	0.130	34433	99802	35114	8346	
881160	599	0.372	126518	372946	127330	31814	
450862	303	0.086	17677	47817	18060	3180	
536385	538	0.097	20462	67011	21064	7161	
408434	379	0.091	20140	54724	20639	3722	
314878	275	0.076	13729	40423	14037	3326	
345000	276	0.098	22732	67876	23012	5249	
1072027	909	0.309	102109	307589	102950	29449	
137251	131	0.049	2447	7239	2648	585	
600209	384	0.128	34581	96089	35127	6880	
375979	224	0.066	9538	27366	9883	2123	
543417	457	0.087	18870	50915	19246	3345	
567017	403	0.096	22187	59174	22578	3769	
755044	543	0.129	32061	100896	33122	11163	
235744	191	0.070	11196	32785	11494	2565	
393206	312	0.074	12342	35265	12915	2944	
951953	584	0.145	40379	112667	41566	8601	
1117744	814	0.211	63345	189096	64960	17636	
943729	729	0.331	109099	325149	109863	28117	
785031	616	0.195	59708	174789	60226	14634	
363542	400	0.075	12186	37788	12960	3689	
597501	447	0.126	33156	91886	33801	6516	
248248	203	0.057	5829	17150	6161	1358	
867281	693	0.172	46916	148569	48035	15879	
458233	347	0.075	12878	35475	13489	2767	
555965	507	0.086	16034	53186	16815	5890	
714257	560	0.223	67669	209556	68568	19791	
760165	693	0.159	43590	139847	44068	14764	
488345	284	0.059	7096	17945	7406	854	
535743	324	0.106	26681	69202	27044	3570	
671096	489	0.184	51715	164099	52499	18073	
464113	221	0.081	14949	45307	15605	4187	
331941	270	0.069	10348	28816	10897	2086	
630500	387	0.117	28348	85344	29142	8076	
337684	287	0.059	6746	18406	7242	1219	
476229	404	0.156	45061	129716	45527	10375	
503758	356	0.104	24405	72017	24924	6311	
453654	389	0.131	34981	100587	35435	8434	
400583	363	0.103	23545	69205	24058	5848	
910411	612	0.207	66149	189360	66787	13801	
815524	633	0.183	58367	167326	58863	11538	
501879	336	0.094	20526	57260	21091	4470	
368137	254	0.067	10725	30361	11125	2098	
473966	358	0.076	14024	36026	14429	2066	
504809	400	0.072	11131	32450	11858	2804	
980999	732	0.298	99343	290643	100125	24145	
