dist	len	time	scanned	reached	inserted	decreased	
797769	667	0.273	117632	313467	118396	13220	
502105	392	0.228	90340	243054	91274	10308	
574039	407	0.277	116183	325455	117085	15632	
608306	454	0.216	85124	233889	85962	10870	
691864	582	0.280	119957	321672	120841	13418	
292734	175	0.105	22583	59403	23071	2264	
75350	60	0.071	2546	6806	2719	287	
359354	400	0.194	69115	214955	69871	13087	
705688	570	0.353	155595	444547	156427	22455	
110814	110	0.079	6361	18049	6639	912	
546241	371	0.222	87604	235907	88420	10061	
717966	451	0.273	113325	325430	114357	16328	
617018	451	0.303	128352	371036	129371	19031	
345538	215	0.141	43093	117050	43552	4680	
357139	304	0.180	62655	175039	63418	8262	
630042	395	0.238	95531	268706	96568	13297	
715301	552	0.318	137015	394236	138026	20293	
743744	585	0.271	115748	309353	116585	13138	
166982	122	0.082	8682	23806	8901	1115	
609579	346	0.220	87590	240437	88432	11042	
366916	308	0.213	77867	236834	78885	13844	
228644	218	0.121	29375	95735	30092	6124	
664080	476	0.331	143468	417689	144343	21732	
723166	634	0.332	146709	418346	147665	20807	
444129	388	0.227	87054	258849	87958	14320	
602248	440	0.284	121013	344219	121770	17124	
332541	171	0.157	49070	143022	50128	8231	
996091	803	0.384	175081	503953	175832	25778	
408654	313	0.188	65238	199389	66070	11298	
142055	114	0.090	13103	41271	13539	2582	
381575	330	0.179	61541	175336	62578	9416	
650565	528	0.191	70313	203944	71009	10889	
649385	459	0.319	138968	394432	140074	19025	
429724	318	0.162	53947	158753	54530	8740	
1001971	811	0.329	149188	403647	150102	17597	
919831	738	0.387	176428	495122	177611	23840	
368923	367	0.180	62527	192381	63291	11693	
290512	150	0.091	14913	36612	15278	1064	
602175	368	0.152	49642	130950	50396	5138	
407518	378	0.146	44619	122285	45311	5400	
718477	490	0.234	92508	257530	93417	13021	
470339	400	0.261	105762	315646	106761	17544	
561873	484	0.193	72219	199638	72898	9357	
371513	283	0.167	56130	154349	57000	6842	
339915	240	0.138	39675	106677	40319	4610	
606549	540	0.328	141048	407620	142039	21143	
630963	466	0.235	95413	262197	96189	12216	
738498	517	0.322	140093	385381	140862	17306	
454156	198	0.141	43560	108559	43990	3254	
762053	652	0.369	164940	471683	165550	23498	
312345	174	0.103	20913	52898	21315	1682	
300271	239	0.152	47708	134420	48505	6598	
801792	564	0.359	159924	463642	160872	24490	
624013	656	0.289	120844	353194	122143	19204	
822492	588	0.334	146982	424133	147981	22158	
516489	491	0.293	122161	362908	122975	19983	
426508	375	0.231	89666	269668	90585	15798	
532041	427	0.229	89361	263389	90222	13976	
280390	211	0.149	45360	142900	45973	8969	
283410	216	0.141	40453	119901	41283	6970	
829686	514	0.353	158083	447325	158776	21629	
580696	324	0.182	65499	186147	66187	8571	
29383	20	0.068	285	811	348	35	
234708	202	0.126	32498	102664	33215	6525	
593578	552	0.268	110794	328003	111702	18698	
983435	671	0.387	178947	495976	179807	23083	
527798	448	0.251	100340	302152	100992	17488	
361227	251	0.131	38030	100938	38542	3868	
307271	255	0.153	48401	137789	49202	7064	
492743	344	0.233	93083	254506	93912	11523	
551375	359	0.184	67391	179241	68147	7346	
1036020	965	0.341	154546	447870	155277	23359	
799398	727	0.360	162343	471149	163159	24501	
344105	401	0.147	44174	138815	44890	9305	
514984	422	0.246	98940	279322	99937	13986	
876988	524	0.275	119536	318116	120255	12572	
725301	467	0.210	82550	216983	83184	8684	
571872	509	0.318	136354	395698	137491	20505	
108676	57	0.071	2647	6687	2762	217	
460018	441	0.224	85332	251233	86197	13359	
340520	278	0.158	50577	147487	51492	7261	
905369	723	0.382	174852	505672	175682	26132	
553007	364	0.233	91481	270979	92380	15045	
482784	422	0.241	95442	282566	96179	15923	
837599	773	0.346	155850	451757	156509	23710	
632759	450	0.333	143912	418787	144795	22256	
355060	225	0.138	41546	110537	42182	4542	
896401	696	0.365	164130	459756	165162	22361	
537445	366	0.175	62405	164301	63043	6534	
202166	206	0.111	25152	74041	25705	4022	
326304	279	0.156	49242	151999	49879	8747	
522119	372	0.267	110996	316091	111663	16087	
483351	192	0.091	15266	36742	15420	910	
512450	355	0.165	57155	148351	58000	5583	
378683	459	0.168	56162	167436	57040	10035	
185208	133	0.101	19552	54988	20075	2525	
407810	240	0.135	39817	101980	40481	3428	
254671	217	0.127	33364	104493	34108	5874	
304720	201	0.095	16822	43980	17185	1714	
778714	595	0.249	105760	293151	106255	13227	
271730	189	0.112	26035	70152	26595	3004	
709767	553	0.320	138861	408951	139847	22133	
779080	518	0.314	136851	395155	137759	20961	
380113	296	0.168	57322	168198	57916	8593	
660291	539	0.358	157035	453478	158173	23493	
371987	374	0.181	62524	193678	63133	11644	
561707	473	0.203	78401	213842	79036	9364	
302820	213	0.143	42491	128605	43053	6904	
824909	571	0.362	162075	458217	163213	22422	
330283	229	0.104	22071	57538	22538	2058	
569925	400	0.236	95905	256850	96822	10729	
655488	527	0.277	115879	343214	116802	19364	
186610	169	0.086	11542	31566	11834	1425	
242119	213	0.113	25804	77738	26316	4407	
473103	329	0.248	99529	284914	100356	14293	
151637	90	0.080	7510	20452	7861	859	
467838	367	0.168	57678	162766	58345	8428	
646082	561	0.259	106835	303017	108037	15320	
496259	453	0.300	125111	367332	126108	19640	
302766	322	0.148	43997	140127	44710	9207	
324897	249	0.158	51511	151859	52071	8094	
822127	775	0.345	154444	447624	155130	23446	
429452	288	0.143	44868	115385	45569	4264	
735153	613	0.265	111118	305194	112234	13616	
121736	133	0.079	6273	21286	6571	1888	
707850	556	0.327	143932	397166	144837	17956	
547669	393	0.266	109182	325220	110045	18115	
423945	363	0.234	91057	270925	91829	15611	
151726	178	0.092	14312	40807	14805	2044	
115939	85	0.080	7172	22970	7537	1492	
658550	345	0.132	39067	102043	39669	3979	
48428	38	0.069	958	2572	1085	119	
284768	249	0.145	44016	125597	44747	6339	
664766	483	0.306	130755	374158	131767	18777	
704104	593	0.263	108554	307213	109604	15594	
544170	366	0.171	59643	174576	60331	8952	
889021	704	0.355	158612	460283	159306	24287	
766298	534	0.370	167240	457629	168125	20268	
546421	311	0.199	76227	210779	76623	9499	
669175	348	0.301	129362	366435	130303	18708	
701161	598	0.310	135874	388861	136576	19634	
495772	331	0.217	84455	230655	85253	10486	
876418	593	0.384	176133	482436	176916	21644	
588099	448	0.253	104871	284531	105668	12764	
214272	143	0.089	12887	32962	13319	1139	
504308	373	0.219	85014	241250	85961	11993	
586672	388	0.209	81340	225734	81802	10605	
535171	428	0.118	31440	84054	31899	3537	
198339	142	0.082	9144	22823	9411	651	
21203	23	0.068	302	1006	357	53	
304838	265	0.142	41215	119391	42086	6683	
