dist	len	time	scanned	reached	inserted	decreased	
797769	667	0.212	51097	136308	51292	9092	
502105	392	0.125	17467	43866	17500	2805	
574039	407	0.178	37129	101952	37203	7715	
608306	454	0.152	27927	76266	28021	5817	
691864	582	0.144	23899	61146	23898	4114	
292734	175	0.091	4196	10006	4248	489	
75350	60	0.083	510	1161	523	67	
359354	400	0.111	11479	32785	11497	3151	
705688	570	0.207	46760	137212	46780	12503	
110814	110	0.084	1233	3045	1249	214	
546241	371	0.123	16594	42252	16605	2689	
717966	451	0.192	42912	118221	42953	8800	
617018	451	0.141	22987	66171	23028	5778	
345538	215	0.126	18688	48836	18714	2950	
357139	304	0.105	9304	24524	9304	1987	
630042	395	0.159	30268	81143	30310	5789	
715301	552	0.222	52483	152173	52495	13114	
743744	585	0.207	48424	126013	48430	8116	
166982	122	0.088	3131	8352	3176	567	
609579	346	0.139	22111	58515	22119	4430	
366916	308	0.109	11113	34529	11130	3449	
228644	218	0.103	8436	26785	8498	2798	
664080	476	0.142	22562	66047	22625	6691	
723166	634	0.243	60473	173176	60487	14787	
444129	388	0.133	20024	59637	20042	5599	
602248	440	0.175	36083	101738	36110	8630	
332541	171	0.096	6109	16696	6150	1371	
996091	803	0.189	38985	107620	39015	9475	
408654	313	0.135	20920	63049	20933	6306	
142055	114	0.083	945	2203	949	166	
381575	330	0.127	17667	49021	17718	3916	
650565	528	0.122	15863	43869	15865	3829	
649385	459	0.227	56154	157036	56217	12283	
429724	318	0.122	15919	43399	15943	3554	
1001971	811	0.241	61063	162687	61185	11283	
919831	738	0.195	42411	121188	42446	10922	
368923	367	0.120	15039	45970	15169	4373	
290512	150	0.087	2654	5941	2656	218	
602175	368	0.116	14240	35891	14313	2064	
407518	378	0.098	7060	18348	7098	1194	
718477	490	0.131	19737	51285	19750	3455	
470339	400	0.101	7006	20570	7067	2060	
561873	484	0.133	20995	57764	21158	4066	
371513	283	0.108	10524	28420	10569	2294	
339915	240	0.100	7936	19888	7972	1075	
606549	540	0.137	21142	60300	21165	5425	
630963	466	0.150	26850	72293	26897	5451	
738498	517	0.182	38115	103653	38149	8525	
454156	198	0.110	12009	28939	12016	1364	
762053	652	0.223	52473	153942	52502	14052	
312345	174	0.091	4393	10459	4423	477	
300271	239	0.097	6386	16129	6423	1142	
801792	564	0.250	63504	187528	63708	17120	
624013	656	0.169	32059	98814	32066	10292	
822492	588	0.181	37211	105859	37249	9987	
516489	491	0.146	24314	73229	24326	7113	
