dist	len	time	scanned	reached	inserted	decreased	
797769	667	0.391	211120	593427	211625	28421	
502105	392	0.297	153638	435267	154078	22354	
574039	407	0.304	158383	446748	159058	21119	
608306	454	0.165	81897	226468	82230	10817	
691864	582	0.310	165712	467988	166087	23849	
292734	175	0.078	27359	71010	27598	2716	
75350	60	0.045	5228	14268	5396	713	
359354	400	0.265	131619	394048	132290	22035	
705688	570	0.381	205708	587217	206223	30057	
110814	110	0.058	13245	38881	13502	2140	
546241	371	0.334	174783	495025	175186	24085	
717966	451	0.430	232686	654603	233069	32086	
617018	451	0.402	215096	610600	215502	30635	
345538	215	0.143	65964	174935	66478	6979	
357139	304	0.193	94086	262856	94577	12774	
630042	395	0.454	241243	677998	241656	33017	
715301	552	0.409	219543	625170	220153	31542	
743744	585	0.389	209231	588747	209689	28149	
166982	122	0.060	15253	43959	15462	2465	
609579	346	0.169	84444	232839	84778	10960	
366916	308	0.238	117454	337950	118101	18169	
228644	218	0.131	55323	167984	56016	10388	
664080	476	0.313	166239	487287	166825	26165	
723166	634	0.375	203139	581325	203674	29475	
444129	388	0.325	165752	487870	166480	26344	
602248	440	0.262	136726	404671	137305	22231	
332541	171	0.150	69447	190459	69752	8697	
996091	803	0.445	246212	687894	246528	32957	
408654	313	0.229	111822	342435	112600	20255	
142055	114	0.074	23084	69691	23421	3860	
381575	330	0.184	89294	243574	89758	10897	
650565	528	0.166	81218	226696	81853	10922	
649385	459	0.376	201752	576729	202203	29253	
429724	318	0.164	79212	215888	79600	9612	
1001971	811	0.357	195081	556210	195500	28504	
919831	738	0.380	207063	586902	207458	29474	
368923	367	0.186	88015	273915	88761	16793	
290512	150	0.075	24932	62448	25234	2047	
602175	368	0.420	223457	630273	224004	30511	
407518	378	0.298	149974	434711	150606	22950	
718477	490	0.473	252884	706831	253086	34131	
470339	400	0.236	118636	356413	119132	20202	
561873	484	0.397	208655	591090	209121	29103	
371513	283	0.258	127434	368609	127986	19789	
339915	240	0.119	52210	135831	52564	5146	
606549	540	0.295	154949	455947	155495	25124	
630963	466	0.429	228579	642718	229075	30788	
738498	517	0.331	176100	499643	176739	24298	
454156	198	0.103	43851	112481	44107	3697	
762053	652	0.394	211548	594261	212023	28328	
312345	174	0.131	58465	154188	58976	6240	
300271	239	0.151	69015	191412	69452	8828	
801792	564	0.449	243754	682410	243989	33279	
624013	656	0.367	193076	549435	193378	28115	
822492	588	0.298	160300	458893	160752	23840	
516489	491	0.257	132374	377153	132831	19661	
426508	375	0.192	93775	285870	94120	16421	
532041	427	0.340	175415	513774	176043	27789	
280390	211	0.129	56732	169160	56972	9674	
283410	216	0.211	97385	295429	98170	17155	
829686	514	0.392	211300	592940	211690	28205	
580696	324	0.137	65165	172482	65540	6383	
29383	20	0.038	559	1465	628	58	
234708	202	0.156	68206	208951	69019	12601	
593578	552	0.430	227650	642533	228032	31469	
983435	671	0.445	245866	686955	246085	32611	
527798	448	0.353	182073	526487	182797	27090	
361227	251	0.179	84205	246786	84961	13268	
307271	255	0.163	75562	211626	76068	10186	
492743	344	0.193	96400	267413	96870	12730	
551375	359	0.207	103815	279598	104319	12075	
1036020	965	0.461	256177	713758	256333	33877	
799398	727	0.416	226836	639955	227239	31540	
344105	401	0.250	120983	360324	121772	20399	
514984	422	0.381	198079	563623	198655	28049	
876988	524	0.445	243515	680358	243916	32323	
725301	467	0.242	124740	341909	125164	15600	
571872	509	0.346	181564	516270	181988	26444	
108676	57	0.044	5061	13052	5206	460	
460018	441	0.337	171792	503136	172568	26431	
340520	278	0.152	70912	190750	71347	7896	
905369	723	0.427	234437	657449	234759	32206	
553007	364	0.201	101848	279544	102233	12950	
482784	422	0.186	92047	280921	92319	16283	
837599	773	0.348	188577	538567	189038	27672	
632759	450	0.427	225339	635329	225659	31264	
355060	225	0.125	56043	148336	56414	5413	
896401	696	0.466	256351	714782	256484	34548	
537445	366	0.231	118889	331923	119392	16545	
202166	206	0.112	45359	136397	45796	7594	
